site_name,flx_name,flx_obs_date_y,flx_obs_date_m,flx_obs_date_d,flx_pathway,flx_pathway_note,flx_analyte,flx_ecosystem_component,flx_method,flx_rate,flx_rate_units,flx_13c,flx_rc_lab,flx_rc_year,flx_14c
Trumbore Chiquito,C_19951023_2,1995,10,23,soil emission,Partitioned based on soil resp during non-growing season (assumed only HR),CO2,heterotrophic,chamber,,,,CAMS,1995,140.1
Trumbore Chiquito,C_1995715_1,1995,7,15,soil emission,litter-free surface,CO2,ecosystem,chamber,2.07388,umol m-2 s-1,,,1995,
Trumbore Chiquito,C_1995715_2,1995,7,15,soil emission,litter-covered surface,CO2,ecosystem,chamber,2.29072,umol m-2 s-1,,,1995,
Trumbore Chiquito,C_1995717_1,1995,7,17,soil emission,,CO2,ecosystem,chamber,,,-19,CAMS,1995,139.4
Trumbore Chiquito,C_1995717_2,1995,7,17,soil emission,Partitioned based on soil resp during non-growing season (assumed only HR),CO2,heterotrophic,chamber,,,-24.4,CAMS,1995,160.2
Trumbore Chiquito,C_1995815_1,1995,8,15,soil emission,litter-free surface,CO2,ecosystem,chamber,1.1815,umol m-2 s-1,,,1995,
Trumbore Chiquito,C_1995815_2,1995,8,15,soil emission,litter-covered surface,CO2,ecosystem,chamber,1.24266,umol m-2 s-1,,,1995,
Trumbore Chiquito,C_1995915_1,1995,9,15,soil emission,litter-free surface,CO2,ecosystem,chamber,0.92018,umol m-2 s-1,,,1995,
Trumbore Chiquito,C_1995915_2,1995,9,15,soil emission,litter-covered surface,CO2,ecosystem,chamber,0.66442,umol m-2 s-1,,,1995,
Trumbore Chiquito,C_1995925_1,1995,9,25,soil emission,,CO2,ecosystem,chamber,,,-18,CAMS,1995,94.1
Trumbore Chiquito,C_1995925_2,1995,9,25,soil emission,Partitioned based on soil resp during non-growing season (assumed only HR),CO2,heterotrophic,chamber,,,,CAMS,1995,103.5
Trumbore Falbrook,FB_19911020_1,1991,10,20,,,CO2,atmosphere,chamber,,,-9.455,CAMS,1991,58.1
Trumbore Falbrook,FB_19911020_2,1991,10,20,,,CO2,atmosphere,chamber,,,-9.455,CAMS,1991,
Trumbore Falbrook,FB_1991123_1,1991,1,23,,,CO2,atmosphere,chamber,,,-8.399,CAMS,1991,80.30351895
Trumbore Falbrook,FB_1991123_2,1991,1,23,,,CO2,atmosphere,chamber,,,-8.399,CAMS,1991,80.30351895
Trumbore Falbrook,FB_1991215_,1991,2,15,,,CO2,atmosphere,chamber,,,-8.206,CAMS,1991,
Trumbore Falbrook,FB_1991426_,1991,4,26,,,CO2,atmosphere,chamber,,,-10.298,CAMS,1991,91.84054788
Trumbore Falbrook,FB_199145_,1991,4,5,,,CO2,atmosphere,chamber,,,-8.53,CAMS,1991,78.71220462
Trumbore Falbrook,FB_1991529_1,1991,5,29,,,CO2,atmosphere,chamber,,,-8.57,CAMS,1991,73.34151874
Trumbore Falbrook,FB_1991529_2,1991,5,29,,,CO2,atmosphere,chamber,,,-8.57,CAMS,1991,73.34151874
Trumbore Falbrook,FB_1991624_,1991,6,24,,,CO2,atmosphere,chamber,,,-8.984,CAMS,1991,70.75563295
Trumbore Falbrook,FB_1991714_1,1991,7,14,,,CO2,atmosphere,chamber,,,-8.943,CAMS,1991,87.16606202
Trumbore Falbrook,FB_1991714_2,1991,7,14,,,CO2,atmosphere,chamber,,,-8.943,CAMS,1991,87.16606202
Trumbore Falbrook,FB_1991921_1,1991,9,21,,,CO2,atmosphere,chamber,,,-9.182,CAMS,1991,
Trumbore Falbrook,FB_1991921_2,1991,9,21,,,CO2,atmosphere,chamber,,,-9.182,CAMS,1991,56.6
Trumbore Falbrook,FB_19941015_1,1994,10,15,soil emission,litter-free surface,CO2,ecosystem,chamber,4.06714,umol m-2 s-1,,,1994,
Trumbore Falbrook,FB_19941015_2,1994,10,15,soil emission,litter-covered surface,CO2,ecosystem,chamber,5.9075,umol m-2 s-1,,,1994,
Trumbore Falbrook,FB_19941115_1,1994,11,15,soil emission,litter-free surface,CO2,ecosystem,chamber,4.2534,umol m-2 s-1,,,1994,
Trumbore Falbrook,FB_19941115_2,1994,11,15,soil emission,litter-covered surface,CO2,ecosystem,chamber,6.22442,umol m-2 s-1,,,1994,
Trumbore Falbrook,FB_1994815_,1994,8,15,soil emission,litter-free surface,CO2,ecosystem,chamber,0.52264,umol m-2 s-1,,,1994,
Trumbore Falbrook,FB_1994915_1,1994,9,15,soil emission,litter-free surface,CO2,ecosystem,chamber,0.46148,umol m-2 s-1,,,1994,
Trumbore Falbrook,FB_1994915_2,1994,9,15,soil emission,litter-covered surface,CO2,ecosystem,chamber,0.53098,umol m-2 s-1,,,1994,
Trumbore Falbrook,FB_19951022_1,1995,10,22,soil emission,,CO2,ecosystem,chamber,,,,CAMS,1995,83.9
Trumbore Falbrook,FB_19951022_2,1995,10,22,soil emission,Partitioned based on soil resp during non-growing season (assumed only HR),CO2,heterotrophic,chamber,,,-25.8,CAMS,1995,456.5
Trumbore Falbrook,FB_1995115_1,1995,1,15,soil emission,litter-free surface,CO2,ecosystem,chamber,3.00518,umol m-2 s-1,,,1995,
Trumbore Falbrook,FB_1995115_2,1995,1,15,soil emission,litter-covered surface,CO2,ecosystem,chamber,4.23394,umol m-2 s-1,,,1995,
Trumbore Falbrook,FB_1995125_1,1995,1,25,soil emission,,CO2,ecosystem,chamber,,,-27.8,CAMS,1995,134.8
Trumbore Falbrook,FB_1995125_2,1995,1,25,soil emission,Partitioned based on soil resp during non-growing season (assumed only HR),CO2,heterotrophic,chamber,,,-25.5,CAMS,1995,137.1
Trumbore Falbrook,FB_1995215_1,1995,2,15,soil emission,litter-free surface,CO2,ecosystem,chamber,6.91664,umol m-2 s-1,,,1995,
Trumbore Falbrook,FB_1995215_2,1995,2,15,soil emission,litter-covered surface,CO2,ecosystem,chamber,6.92498,umol m-2 s-1,,,1995,
Trumbore Falbrook,FB_1995217_1,1995,2,17,soil emission,,CO2,ecosystem,chamber,,,-27.368,CAMS,1995,135.2
Trumbore Falbrook,FB_1995217_2,1995,2,17,soil emission,Partitioned based on soil resp during non-growing season (assumed only HR),CO2,heterotrophic,chamber,,,-24.8,CAMS,1995,137.7
Trumbore Falbrook,FB_1995315_,1995,3,15,soil emission,litter-free surface,CO2,ecosystem,chamber,7.20576,umol m-2 s-1,,,1995,
Trumbore Falbrook,FB_1995415_1,1995,4,15,soil emission,litter-free surface,CO2,ecosystem,chamber,7.48098,umol m-2 s-1,,,1995,
Trumbore Falbrook,FB_1995415_2,1995,4,15,soil emission,litter-covered surface,CO2,ecosystem,chamber,8.27328,umol m-2 s-1,,,1995,
Trumbore Falbrook,FB_1995428_1,1995,4,28,soil emission,,CO2,ecosystem,chamber,,,-26.746,CAMS,1995,129.1
Trumbore Falbrook,FB_1995428_2,1995,4,28,soil emission,Partitioned based on soil resp during non-growing season (assumed only HR),CO2,heterotrophic,chamber,,,,CAMS,1995,130.7
Trumbore Falbrook,FB_199547_1,1995,4,7,soil emission,,CO2,ecosystem,chamber,,,-27.724,CAMS,1995,142.4
Trumbore Falbrook,FB_199547_2,1995,4,7,soil emission,Partitioned based on soil resp during non-growing season (assumed only HR),CO2,heterotrophic,chamber,,,-24.4,CAMS,1995,143.9
Trumbore Falbrook,FB_1995515_1,1995,5,15,soil emission,litter-free surface,CO2,ecosystem,chamber,4.41742,umol m-2 s-1,,,1995,
Trumbore Falbrook,FB_1995515_2,1995,5,15,soil emission,litter-covered surface,CO2,ecosystem,chamber,5.6434,umol m-2 s-1,,,1995,
Trumbore Falbrook,FB_1995531_1,1995,5,31,soil emission,,CO2,ecosystem,chamber,,,-24.964,CAMS,1995,122.4
Trumbore Falbrook,FB_1995531_2,1995,5,31,soil emission,Partitioned based on soil resp during non-growing season (assumed only HR),CO2,heterotrophic,chamber,,,-24.7,CAMS,1995,125.5
Trumbore Falbrook,FB_1995615_1,1995,6,15,soil emission,litter-free surface,CO2,ecosystem,chamber,1.54568,umol m-2 s-1,,,1995,
Trumbore Falbrook,FB_1995615_2,1995,6,15,soil emission,litter-covered surface,CO2,ecosystem,chamber,2.31018,umol m-2 s-1,,,1995,
Trumbore Falbrook,FB_1995625_1,1995,6,25,soil emission,,CO2,ecosystem,chamber,,,-24.438,CAMS,1995,102.2
Trumbore Falbrook,FB_1995625_2,1995,6,25,soil emission,Partitioned based on soil resp during non-growing season (assumed only HR),CO2,heterotrophic,chamber,,,-24.1,CAMS,1995,108.6
Trumbore Falbrook,FB_1995626_1,1995,6,26,soil emission,,CO2,ecosystem,chamber,,,-25.626,CAMS,1995,126.1
Trumbore Falbrook,FB_1995626_2,1995,6,26,soil emission,Partitioned based on soil resp during non-growing season (assumed only HR),CO2,heterotrophic,chamber,,,-24.4,CAMS,1995,131.5
Trumbore Falbrook,FB_1995715_1,1995,7,15,soil emission,litter-free surface,CO2,ecosystem,chamber,0.78118,umol m-2 s-1,,,1995,
Trumbore Falbrook,FB_1995715_2,1995,7,15,soil emission,litter-covered surface,CO2,ecosystem,chamber,0.53932,umol m-2 s-1,,,1995,
Trumbore Falbrook,FB_1995716_1,1995,7,16,soil emission,,CO2,ecosystem,chamber,,,-23,CAMS,1995,116.2
Trumbore Falbrook,FB_1995716_2,1995,7,16,soil emission,Partitioned based on soil resp during non-growing season (assumed only HR),CO2,heterotrophic,chamber,,,-24.5,CAMS,1995,120.9
Trumbore Falbrook,FB_1995815_1,1995,8,15,soil emission,litter-free surface,CO2,ecosystem,chamber,0.278,umol m-2 s-1,,,1995,
Trumbore Falbrook,FB_1995815_2,1995,8,15,soil emission,litter-covered surface,CO2,ecosystem,chamber,0.28359,umol m-2 s-1,,,1995,
Trumbore Falbrook,FB_1995915_1,1995,9,15,soil emission,litter-free surface,CO2,ecosystem,chamber,0.36418,umol m-2 s-1,,,1995,
Trumbore Falbrook,FB_1995915_2,1995,9,15,soil emission,litter-covered surface,CO2,ecosystem,chamber,0.21684,umol m-2 s-1,,,1995,
Trumbore Falbrook,FB_1995923_1,1995,9,23,soil emission,,CO2,ecosystem,chamber,,,-18.3,CAMS,1995,108.7
Trumbore Falbrook,FB_1995923_2,1995,9,23,soil emission,Partitioned based on soil resp during non-growing season (assumed only HR),CO2,heterotrophic,chamber,,,-25.5,CAMS,1995,140.6
Trumbore Musick,M_19911021_,1991,10,21,,,CO2,atmosphere,chamber,,,-10.576,CAMS,1991,85.3
Trumbore Musick,M_1991427_,1991,4,27,,,CO2,atmosphere,chamber,,,-8.737,CAMS,1991,93.73023365
Trumbore Musick,M_1991530_,1991,5,30,,,CO2,atmosphere,chamber,,,-11.405,CAMS,1991,93.73023365
Trumbore Musick,M_1991626_,1991,6,26,,,CO2,atmosphere,chamber,,,-9.286,CAMS,1991,87.56389061
Trumbore Musick,M_1991924_,1991,9,24,,,CO2,atmosphere,chamber,,,-11.007,CAMS,1991,
Trumbore Musick,M_19941015_1,1994,10,15,soil emission,litter-free surface,CO2,ecosystem,chamber,6.8388,umol m-2 s-1,,,1994,
Trumbore Musick,M_19941015_2,1994,10,15,soil emission,litter-covered surface,CO2,ecosystem,chamber,5.27922,umol m-2 s-1,,,1994,
Trumbore Musick,M_19941115_1,1994,11,15,soil emission,litter-free surface,CO2,ecosystem,chamber,2.06276,umol m-2 s-1,,,1994,
Trumbore Musick,M_19941115_2,1994,11,15,soil emission,litter-covered surface,CO2,ecosystem,chamber,4.56476,umol m-2 s-1,,,1994,
Trumbore Musick,M_19941115_3,1994,11,15,soil emission,snow-covered,CO2,ecosystem,chamber,0.31136,umol m-2 s-1,,,1994,
Trumbore Musick,M_1994815_,1994,8,15,soil emission,litter-free surface,CO2,ecosystem,chamber,1.40946,umol m-2 s-1,,,1994,
Trumbore Musick,M_1994915_1,1994,9,15,soil emission,litter-free surface,CO2,ecosystem,chamber,1.94322,umol m-2 s-1,,,1994,
Trumbore Musick,M_1994915_2,1994,9,15,soil emission,litter-free surface,CO2,ecosystem,chamber,1.54846,umol m-2 s-1,,,1994,
Trumbore Musick,M_19951023_1,1995,10,23,soil emission,,CO2,ecosystem,chamber,,,-19.7,CAMS,1995,140.1
Trumbore Musick,M_19951023_2,1995,10,23,soil emission,Partitioned based on soil resp during non-growing season (assumed only HR),CO2,heterotrophic,chamber,,,,CAMS,1995,151.5
Trumbore Musick,M_1995415_1,1995,4,15,soil emission,litter-free surface,CO2,ecosystem,chamber,7.62554,umol m-2 s-1,,,1995,
Trumbore Musick,M_1995415_2,1995,4,15,soil emission,litter-covered surface,CO2,ecosystem,chamber,4.66762,umol m-2 s-1,,,1995,
Trumbore Musick,M_1995428_1,1995,4,28,soil emission,,CO2,ecosystem,chamber,,,-21.216,CAMS,1995,142.3
Trumbore Musick,M_1995428_2,1995,4,28,soil emission,Partitioned based on soil resp during non-growing season (assumed only HR),CO2,heterotrophic,chamber,,,-27.5,CAMS,1995,155.8
Trumbore Musick,M_1995515_,1995,5,15,soil emission,litter-covered surface,CO2,ecosystem,chamber,6.2272,umol m-2 s-1,,,1995,
Trumbore Musick,M_1995531_1,1995,5,31,soil emission,,CO2,ecosystem,chamber,,,-21.973,CAMS,1995,149
Trumbore Musick,M_1995531_2,1995,5,31,soil emission,Partitioned based on soil resp during non-growing season (assumed only HR),CO2,heterotrophic,chamber,,,-26,CAMS,1995,158.8
Trumbore Musick,M_1995615_1,1995,6,15,soil emission,litter-free surface,CO2,ecosystem,chamber,4.865,umol m-2 s-1,,,1995,
Trumbore Musick,M_1995615_2,1995,6,15,soil emission,litter-covered surface,CO2,ecosystem,chamber,4.97898,umol m-2 s-1,,,1995,
Trumbore Musick,M_1995627_1,1995,6,27,soil emission,,CO2,ecosystem,chamber,,,-22.295,CAMS,1995,154.8
Trumbore Musick,M_1995627_2,1995,6,27,soil emission,Partitioned based on soil resp during non-growing season (assumed only HR),CO2,heterotrophic,chamber,,,-25.4,CAMS,1995,164.8
Trumbore Musick,M_1995715_1,1995,7,15,soil emission,litter-free surface,CO2,ecosystem,chamber,3.75578,umol m-2 s-1,,,1995,
Trumbore Musick,M_1995715_2,1995,7,15,soil emission,litter-covered surface,CO2,ecosystem,chamber,4.49248,umol m-2 s-1,,,1995,
Trumbore Musick,M_1995717_1,1995,7,17,soil emission,,CO2,ecosystem,chamber,,,-21.9,CAMS,1995,120.3
Trumbore Musick,M_1995717_2,1995,7,17,soil emission,Partitioned based on soil resp during non-growing season (assumed only HR),CO2,heterotrophic,chamber,,,-23.8,CAMS,1995,124.4
Trumbore Musick,M_1995815_1,1995,8,15,soil emission,litter-free surface,CO2,ecosystem,chamber,1.94044,umol m-2 s-1,,,1995,
Trumbore Musick,M_1995815_2,1995,8,15,soil emission,litter-covered surface,CO2,ecosystem,chamber,1.24226,umol m-2 s-1,,,1995,
Trumbore Musick,M_1995915_1,1995,9,15,soil emission,litter-free surface,CO2,ecosystem,chamber,2.67436,umol m-2 s-1,,,1995,
Trumbore Musick,M_1995915_2,1995,9,15,soil emission,litter-covered surface,CO2,ecosystem,chamber,1.72916,umol m-2 s-1,,,1995,
Trumbore Musick,M_1995924_1,1995,9,24,soil emission,,CO2,ecosystem,chamber,,,-19.7,CAMS,1995,109.3
Trumbore Musick,M_1995924_2,1995,9,24,soil emission,Partitioned based on soil resp during non-growing season (assumed only HR),CO2,heterotrophic,chamber,,,-21.8,CAMS,1995,113.2
